Test 131, loss: 1.488800, test acc: 0.918558, test avg acc: 0.893465
Train 132, loss: 1.468367, train acc: 0.950733, train avg acc: 0.925804
Test 132, loss: 1.497686, test acc: 0.911669, test avg acc: 0.883291
Train 133, loss: 1.473718, train acc: 0.948290, train avg acc: 0.923132
Test 133, loss: 1.478243, test acc: 0.915316, test avg acc: 0.868843
Train 134, loss: 1.472163, train acc: 0.948392, train avg acc: 0.922572
Test 134, loss: 1.485835, test acc: 0.908833, test avg acc: 0.870163
Train 135, loss: 1.473260, train acc: 0.950428, train avg acc: 0.925284
Test 135, loss: 1.490789, test acc: 0.909238, test avg acc: 0.859180
Train 136, loss: 1.474997, train acc: 0.947374, train avg acc: 0.920165
Test 136, loss: 1.487819, test acc: 0.916532, test avg acc: 0.888337
Train 137, loss: 1.466381, train acc: 0.950529, train avg acc: 0.928028
Test 137, loss: 1.485324, test acc: 0.916937, test avg acc: 0.877541
Train 138, loss: 1.468121, train acc: 0.949817, train avg acc: 0.921135
Test 138, loss: 1.503262, test acc: 0.913290, test avg acc: 0.885628
Train 139, loss: 1.472738, train acc: 0.948290, train avg acc: 0.924334
Test 139, loss: 1.503351, test acc: 0.910859, test avg acc: 0.886634
Train 140, loss: 1.458245, train acc: 0.952158, train avg acc: 0.926602
Test 140, loss: 1.493024, test acc: 0.915721, test avg acc: 0.892384
Train 141, loss: 1.464582, train acc: 0.952769, train avg acc: 0.930964
Test 141, loss: 1.471957, test acc: 0.916126, test avg acc: 0.882959
Train 142, loss: 1.459176, train acc: 0.956331, train avg acc: 0.931433
Test 142, loss: 1.489913, test acc: 0.919368, test avg acc: 0.890837
Train 143, loss: 1.458772, train acc: 0.954397, train avg acc: 0.931259
Test 143, loss: 1.508615, test acc: 0.908833, test avg acc: 0.895453
Train 144, loss: 1.455295, train acc: 0.955924, train avg acc: 0.934277
Test 144, loss: 1.471071, test acc: 0.921394, test avg acc: 0.893122
Train 145, loss: 1.455831, train acc: 0.955110, train avg acc: 0.933075
Test 145, loss: 1.495498, test acc: 0.908428, test avg acc: 0.876808
Train 146, loss: 1.458043, train acc: 0.956535, train avg acc: 0.933258
Test 146, loss: 1.485937, test acc: 0.912480, test avg acc: 0.877169
Train 147, loss: 1.451617, train acc: 0.957044, train avg acc: 0.933502
Test 147, loss: 1.478393, test acc: 0.912480, test avg acc: 0.884663
Train 148, loss: 1.452552, train acc: 0.957044, train avg acc: 0.933050
Test 148, loss: 1.487337, test acc: 0.905186, test avg acc: 0.867797
Train 149, loss: 1.446653, train acc: 0.959487, train avg acc: 0.937886
Test 149, loss: 1.481306, test acc: 0.914100, test avg acc: 0.891122
Train 150, loss: 1.452099, train acc: 0.957349, train avg acc: 0.935082
Test 150, loss: 1.473102, test acc: 0.914100, test avg acc: 0.889081
Train 151, loss: 1.451089, train acc: 0.956331, train avg acc: 0.936174
Test 151, loss: 1.482824, test acc: 0.920989, test avg acc: 0.893465
Train 152, loss: 1.444328, train acc: 0.960098, train avg acc: 0.942737
Test 152, loss: 1.473637, test acc: 0.915316, test avg acc: 0.886488
Train 153, loss: 1.448155, train acc: 0.957553, train avg acc: 0.936138
Test 153, loss: 1.471582, test acc: 0.914911, test avg acc: 0.873552
Train 154, loss: 1.441165, train acc: 0.959385, train avg acc: 0.937422
Test 154, loss: 1.465186, test acc: 0.925851, test avg acc: 0.894163
Train 155, loss: 1.442261, train acc: 0.958164, train avg acc: 0.936360
Test 155, loss: 1.494282, test acc: 0.909643, test avg acc: 0.876890
Train 156, loss: 1.434213, train acc: 0.966103, train avg acc: 0.948848
Test 156, loss: 1.468258, test acc: 0.914506, test avg acc: 0.865924
Train 157, loss: 1.439773, train acc: 0.961116, train avg acc: 0.939787
Test 157, loss: 1.490974, test acc: 0.914911, test avg acc: 0.893959
Train 158, loss: 1.437519, train acc: 0.960098, train avg acc: 0.941414
Test 158, loss: 1.476154, test acc: 0.917747, test avg acc: 0.879512
Train 159, loss: 1.431548, train acc: 0.963762, train avg acc: 0.944903
Test 159, loss: 1.466078, test acc: 0.923825, test avg acc: 0.890256
Train 160, loss: 1.430003, train acc: 0.966511, train avg acc: 0.950326
Test 160, loss: 1.468451, test acc: 0.920989, test avg acc: 0.887000
Train 161, loss: 1.432708, train acc: 0.963559, train avg acc: 0.942971
Test 161, loss: 1.470799, test acc: 0.912885, test avg acc: 0.879953
Train 162, loss: 1.425042, train acc: 0.965594, train avg acc: 0.946624
Test 162, loss: 1.471381, test acc: 0.909643, test avg acc: 0.880669
Train 163, loss: 1.426990, train acc: 0.967427, train avg acc: 0.950905
Test 163, loss: 1.460824, test acc: 0.924230, test avg acc: 0.891378
Train 164, loss: 1.421791, train acc: 0.970379, train avg acc: 0.956075
Test 164, loss: 1.463249, test acc: 0.919773, test avg acc: 0.887419
Train 165, loss: 1.422065, train acc: 0.966714, train avg acc: 0.951506
Test 165, loss: 1.470987, test acc: 0.916126, test avg acc: 0.891785
Train 166, loss: 1.419714, train acc: 0.968546, train avg acc: 0.953120
Test 166, loss: 1.483558, test acc: 0.910454, test avg acc: 0.884087
Train 167, loss: 1.420475, train acc: 0.970888, train avg acc: 0.956420
Test 167, loss: 1.468101, test acc: 0.918152, test avg acc: 0.892128
Train 168, loss: 1.420462, train acc: 0.969463, train avg acc: 0.954685
Test 168, loss: 1.460196, test acc: 0.920583, test avg acc: 0.892535
Train 169, loss: 1.419521, train acc: 0.967732, train avg acc: 0.952308
Test 169, loss: 1.457528, test acc: 0.928282, test avg acc: 0.903081
Train 170, loss: 1.420265, train acc: 0.968445, train avg acc: 0.950418
Test 170, loss: 1.456249, test acc: 0.918558, test avg acc: 0.882919
Train 171, loss: 1.413514, train acc: 0.972007, train avg acc: 0.957784
Test 171, loss: 1.472002, test acc: 0.914911, test avg acc: 0.890302
Train 172, loss: 1.414048, train acc: 0.970582, train avg acc: 0.956948
Test 172, loss: 1.468398, test acc: 0.918558, test avg acc: 0.890081
Train 173, loss: 1.411552, train acc: 0.970888, train avg acc: 0.956909
Test 173, loss: 1.453737, test acc: 0.933549, test avg acc: 0.906337
Train 174, loss: 1.409998, train acc: 0.974043, train avg acc: 0.958672
Test 174, loss: 1.472640, test acc: 0.922204, test avg acc: 0.883541
Train 175, loss: 1.407051, train acc: 0.975163, train avg acc: 0.960326
Test 175, loss: 1.456307, test acc: 0.923015, test avg acc: 0.890959
Train 176, loss: 1.409653, train acc: 0.971397, train avg acc: 0.958223
Test 176, loss: 1.462857, test acc: 0.914911, test avg acc: 0.899756
Train 177, loss: 1.406294, train acc: 0.973636, train avg acc: 0.961105
Test 177, loss: 1.465599, test acc: 0.917342, test avg acc: 0.894157
Train 178, loss: 1.402464, train acc: 0.974654, train avg acc: 0.961624
Test 178, loss: 1.451110, test acc: 0.928282, test avg acc: 0.903372
Train 179, loss: 1.402179, train acc: 0.974552, train avg acc: 0.961569
Test 179, loss: 1.478005, test acc: 0.914911, test avg acc: 0.895831
Train 180, loss: 1.401969, train acc: 0.974450, train avg acc: 0.962677
Test 180, loss: 1.458499, test acc: 0.919368, test avg acc: 0.882052
Train 181, loss: 1.399050, train acc: 0.977300, train avg acc: 0.965434
Test 181, loss: 1.460223, test acc: 0.917342, test avg acc: 0.892622
Train 182, loss: 1.399248, train acc: 0.976283, train avg acc: 0.964052
Test 182, loss: 1.470106, test acc: 0.918963, test avg acc: 0.896628
Train 183, loss: 1.388894, train acc: 0.980354, train avg acc: 0.969980
Test 183, loss: 1.460985, test acc: 0.919368, test avg acc: 0.883087
Train 184, loss: 1.395938, train acc: 0.976690, train avg acc: 0.965207
Test 184, loss: 1.459685, test acc: 0.912480, test avg acc: 0.888291
Train 185, loss: 1.388667, train acc: 0.981474, train avg acc: 0.972729
Test 185, loss: 1.459984, test acc: 0.921799, test avg acc: 0.890907
Train 186, loss: 1.394010, train acc: 0.978522, train avg acc: 0.968256
Test 186, loss: 1.457029, test acc: 0.922204, test avg acc: 0.896081
Train 187, loss: 1.390692, train acc: 0.979845, train avg acc: 0.968802
Test 187, loss: 1.468234, test acc: 0.914506, test avg acc: 0.884256
Train 188, loss: 1.388734, train acc: 0.981169, train avg acc: 0.971413
Test 188, loss: 1.461410, test acc: 0.923420, test avg acc: 0.897622
Train 189, loss: 1.390818, train acc: 0.979336, train avg acc: 0.967262
