Namespace(ape=False, batch_size=32, dataset='modelnet40', deg=False, delta=True, dimkqv=32, dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='NLA2_S_smooth', k=20, lr=0.001, model='TransformerBaseline', model_path='', momentum=0.9, neighbors=False, no_cuda=False, num_points=1024, rpe=False, scale=False, seed=1, start_epoch=0, test_batch_size=16, use_sgd=True, visualize=False)
Using GPU : 0 from 1 devices
Namespace(ape=False, batch_size=32, dataset='modelnet40', deg=False, delta=True, dimkqv=32, dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='NLA2_S_smooth', k=20, lr=0.001, model='TransformerBaseline', model_path='', momentum=0.9, neighbors=False, no_cuda=False, num_points=1024, rpe=False, scale=False, seed=1, start_epoch=0, test_batch_size=16, use_sgd=True, visualize=False)
Using GPU : 0 from 1 devices
Train 121, loss: 1.429061, train acc: 0.958638, train avg acc: 0.936331
Test 121, loss: 1.497137, test acc: 0.906402, test avg acc: 0.887936
Train 122, loss: 1.419903, train acc: 0.961992, train avg acc: 0.941935
Test 122, loss: 1.515601, test acc: 0.886548, test avg acc: 0.864965
Train 123, loss: 1.426626, train acc: 0.959350, train avg acc: 0.940976
Test 123, loss: 1.485066, test acc: 0.914100, test avg acc: 0.870006
Train 124, loss: 1.420406, train acc: 0.963618, train avg acc: 0.943855
Test 124, loss: 1.468422, test acc: 0.915721, test avg acc: 0.878081
Train 125, loss: 1.424463, train acc: 0.960264, train avg acc: 0.938842
Test 125, loss: 1.514060, test acc: 0.907212, test avg acc: 0.871994
Train 126, loss: 1.418131, train acc: 0.962805, train avg acc: 0.942300
Test 126, loss: 1.470363, test acc: 0.913695, test avg acc: 0.873093
Train 127, loss: 1.408406, train acc: 0.965549, train avg acc: 0.947224
Test 127, loss: 1.485938, test acc: 0.905997, test avg acc: 0.876081
Train 128, loss: 1.421380, train acc: 0.960163, train avg acc: 0.941115
Test 128, loss: 1.498969, test acc: 0.918152, test avg acc: 0.883419
